	Element	1s	2s	3s	4s	5s	6s	7s	2p	3p	4p	5p	6p	3d	4d	5d	6d	4f	5f	Metal	Nvalence
0	H	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	He	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2	Li	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3	Be	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
4	B	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
5	C	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4
6	N	2	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5
7	O	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6
8	F	2	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7
9	Ne	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8
10	Na	2	2	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1
11	Mg	2	2	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	2
12	Al	2	2	2	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	1	3
13	Si	2	2	2	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	4
14	P	2	2	2	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	5
15	S	2	2	2	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	6
16	Cl	2	2	2	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	7
17	Ar	2	2	2	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	8
18	K	2	2	2	1	0	0	0	6	6	0	0	0	0	0	0	0	0	0	1	1
19	Ca	2	2	2	2	0	0	0	6	6	0	0	0	0	0	0	0	0	0	1	2
20	Sc	2	2	2	2	0	0	0	6	6	0	0	0	1	0	0	0	0	0	1	3
21	Ti	2	2	2	2	0	0	0	6	6	0	0	0	2	0	0	0	0	0	1	4
22	V	2	2	2	2	0	0	0	6	6	0	0	0	3	0	0	0	0	0	1	5
23	Cr	2	2	2	1	0	0	0	6	6	0	0	0	5	0	0	0	0	0	1	6
